Time,T001 - Far Splendour 1 Pitch [º],T001 - Far Splendour 1 Roll [º],T001 - Far Splendour 1 Rate of pitch [º/min],T001 - Far Splendour 1 Rate of roll [º/min],T001 - Far Splendour 1 Wave height significant [m],T001 - Far Splendour 1 Wind speed [m/s]
00:00:00.044,-0.00288641901681988,-2.69711036988106E-12,-2.13693108005387E-05,6.69750048033119E-09,0,0.000583037041127682
00:00:00.204,-0.00288707789828858,-9.24650856995074E-11,-0.000500191995015349,4.27715825161856E-08,0,0.00349822224676609
00:00:00.306,-0.00288848654142856,-1.39079295111037E-10,-0.00109564727990341,2.5779161014232E-08,0,0.00524733337014914
00:00:00.408,-0.00289113728348408,-1.86711282020634E-10,-0.00192196249430568,2.34557404743778E-08,0,0.00699644449353218
00:00:00.510,-0.0028954144893486,-2.22282605578122E-10,-0.0029703441871988,2.04513477714105E-08,0,0.00874555561691523
00:00:00.612,-0.00290168167983245,-2.58057484635224E-10,-0.0042255722044723,1.845329797547E-08,0,0.0104946667402983
00:00:00.714,-0.00291027048429871,-2.7602125747613E-10,-0.00566687216036881,3.27558468572896E-09,0,0.0122437778636813
00:00:00.816,-0.00292147251147079,-2.86199032456813E-10,-0.00726876118615829,-9.74128422878799E-10,0,0.0139928889870644
00:00:00.918,-0.00293553226244417,-2.95511696564138E-10,-0.00900192220915111,5.28257010095853E-09,0,0.0157420001104474
00:00:01.020,-0.00295264108590226,-3.05078805045981E-10,-0.0108340686564604,6.7671464279877E-09,0,0.0174911112338305
00:00:01.122,-0.00297293363462227,-3.14187913653692E-10,-0.0127307937211152,1.96230459326006E-12,0,0.0192402223572135
00:00:01.224,-0.00299648390509943,-3.24162133134762E-10,-0.0146563867987431,8.54079641255173E-09,0,0.0209893334805965
00:00:01.326,-0.00302330565442862,-3.33271241742473E-10,-0.0165746135773822,6.02684598690861E-09,0,0.0227384446039796
00:00:01.428,-0.00305335010745525,-3.39225240106173E-10,-0.0184494914373745,6.04294009055849E-09,0,0.0244875557273626
00:00:01.530,-0.00307511904258551,-3.3754590723436E-10,-0.019657953734807,3.27675046462407E-10,0,0.0262366668507457
00:00:01.632,-0.00312261520423822,-3.22024800388818E-10,-0.0219305288849693,-1.20106180696393E-08,0,0.0279857779741287
00:00:01.734,-0.00314821632405753,-3.07419693291538E-10,-0.0229758398535863,-1.71921732569529E-08,0,0.0297348890975118
00:00:01.802,-0.00317495157044161,-2.87369476579592E-10,-0.0239488010095535,-1.95500705125925E-08,0,0.0309009631797671
00:00:01.914,-0.00321698679074711,-2.41773044666131E-10,-0.0252551544169365,-2.92875503755641E-08,0,0.0326500743031502
00:00:02.006,-0.00326104242803335,-1.91138614137232E-10,-0.0263563614000586,-2.89527661837165E-08,0,0.0343991854265332
00:00:02.108,-0.00326104242803335,-1.91138614137232E-10,-0.0263563614000586,-2.89527661837165E-08,0,0.0361482965499163
00:00:02.210,-0.00335370396595975,-6.72242037474129E-11,-0.027864045201178,-4.01915225221225E-08,0,0.0378974076732993
00:00:02.312,-0.00335370396595975,-6.72242037474129E-11,-0.027864045201178,-4.01915225221225E-08,0,0.0396465187966824
00:00:02.414,-0.00344964010935067,5.13500491202076E-11,-0.0283532256090329,-4.02807639168676E-08,0,0.0413956299200654
00:00:02.516,-0.00344964010935067,5.13500491202076E-11,-0.0283532256090329,-4.02807639168676E-08,0,0.0431447410434484
00:00:02.618,-0.00354527338821326,1.46747600024003E-10,-0.0277720602621909,-2.91631509305853E-08,0,0.0448938521668315
00:00:02.720,-0.00354527338821326,1.46747600024003E-10,-0.0277720602621909,-2.91631509305853E-08,0,0.0466429632902145
00:00:02.822,-0.00363697443078763,2.3628020188316E-10,-0.0261361259439979,-3.27542396832521E-08,0,0.0483920744135976
00:00:02.924,-0.00363697443078763,2.3628020188316E-10,-0.0261361259439979,-3.27542396832521E-08,0,0.0501411855369806
00:00:03.026,-0.00370788391729113,2.8215652260859E-10,-0.0240225843740227,-1.2341238965105E-08,0,0.0518902966603637
00:00:03.128,-0.00377184607087725,3.18370318211733E-10,-0.0213068947608921,-1.79540140046122E-08,0,0.0536394077837467
00:00:03.230,-0.00377184607087725,3.18370318211733E-10,-0.0213068947608921,-1.79540140046122E-08,0,0.0553885189071298
00:00:03.332,-0.0038169576694164,3.48719170982258E-10,-0.0187669301486414,-1.75743124292757E-08,0,0.0571376300305128
00:00:03.434,-0.00385596612040617,3.66584346628039E-10,-0.0159643535381628,-9.26466059187185E-09,0,0.0588867411538958
00:00:03.502,-0.00385596612040617,3.66584346628039E-10,-0.0159643535381628,-9.26466059187185E-09,0,0.0600528152361512
00:00:03.604,-0.00388835740875583,3.86278341215661E-10,-0.0129643766858277,-6.04047155770825E-10,0,0.0618019263595343
