Order of data on each line is:
	Time
	Base:
		Az
		Ay
		Ax
		Vz
		Vy
		Vx
	Lamp:
		Az
		Ay
		Ax
		Vz
		Vy
		Vx
	Status

19:05:24.091 -1.556334137916565 -4.55886173248291 -8.258148193359375 -1.6556291580200195 2.7466659545898438 0.06103701889514923 3.565202236175537 0.16281649470329285 -9.012371063232422 -0.04577776417136192 -0.6256294250488281 -2.449110269546509  0
19:05:24.102 -1.5108413696289062 -4.57562255859375 -8.260542869567871 -1.8234809637069702 2.7161474227905273 0.12207403779029846 3.6083009243011475 0.19154880940914154 -8.911808967590332 0.2212591916322708 -0.4272591471672058 -2.5635547637939453  0
19:05:24.133 -1.522813081741333 -4.573228359222412 -8.265331268310547 -1.0834070444107056 2.2812585830688477 0.808740496635437 3.5268924236297607 0.18197138607501984 -8.952512741088867 0.14496292173862457 -0.7782219648361206 -2.1134068965911865  0
19:05:24.142 -1.5108413696289062 -4.5468902587890625 -8.222232818603516 -0.9231849312782288 2.2736289501190186 0.9308145642280579 3.637033224105835 0.22985859215259552 -9.009977340698242 0.06866664439439774 -0.49592578411102295 -2.5711843967437744  0
19:05:24.152 -1.5443623065948486 -4.5492844581604 -8.207867622375488 -0.808740496635437 2.0218513011932373 0.8545182943344116 3.565202236175537 0.18436574935913086 -8.962090492248535 0.34333324432373047 -0.34333324432373047 -2.2125918865203857  0
19:05:24.162 -1.5347849130630493 -4.5373125076293945 -8.227021217346191 -1.0605181455612183 2.1820733547210693 0.6332590579986572 3.519709587097168 0.19154880940914154 -8.969273567199707 0.29755547642707825 -0.45777764916419983 -2.5635547637939453  0
19:05:24.191 -1.5395735502243042 -4.556467533111572 -8.248571395874023 -1.5411847829818726 2.616962194442749 0.3967406153678894 3.562808036804199 0.1867600828409195 -8.945329666137695 0.1907406896352768 -0.556962788105011 -2.2507400512695312  0
19:05:24.202 -1.6018270254135132 -4.544495582580566 -8.227021217346191 -1.5335551500320435 2.69325852394104 0.2059999406337738 3.5987234115600586 0.1484503298997879 -8.94054126739502 0.12207403779029846 -0.4272591471672058 -2.227851152420044  0
19:05:24.211 -1.609010100364685 -4.5421013832092285 -8.21983814239502 -1.617480993270874 2.388073444366455 0.2136295735836029 3.5939347743988037 0.18436574935913086 -8.90701961517334 0.1831110566854477 -0.6027405858039856 -2.311777114868164  0
19:05:24.222 -1.5994325876235962 -4.525341033935547 -8.222232818603516 -1.3580737113952637 2.533036231994629 0.5798516869544983 3.586751699447632 0.2370416522026062 -8.974061965942383 0.10681478679180145 -0.46540728211402893 -2.2049622535705566  0
19:05:24.251 -1.556334137916565 -4.534918308258057 -8.289275169372559 -1.0223701000213623 2.2659993171691895 0.8316293954849243 3.5987234115600586 0.10774620622396469 -8.983638763427734 -0.030518509447574615 -0.6332590579986572 -2.2812585830688477  0
19:05:24.272 -1.5084469318389893 -4.551678657531738 -8.272515296936035 -0.9613330364227295 2.4338512420654297 0.7705923914909363 3.637033224105835 0.14366160333156586 -8.914202690124512 0.12207403779029846 -0.46540728211402893 -2.3575549125671387  0
19:05:24.283 -1.5371793508529663 -4.527735233306885 -8.250965118408203 -1.3733329772949219 2.4185919761657715 0.7934812307357788 3.6059064865112305 0.1676052063703537 -8.880681991577148 0.2059999406337738 -0.6027405858039856 -2.5635547637939453  0
19:05:24.292 -1.5730947256088257 -4.5421013832092285 -8.234204292297363 -1.3428144454956055 2.449110269546509 0.49592578411102295 3.6011178493499756 0.22028113901615143 -8.966878890991211 0.251777708530426 -0.617999792098999 -2.059999465942383  0
19:05:24.303 -1.4437992572784424 -4.530129432678223 -8.270120620727539 -1.7548142671585083 2.5788140296936035 0.28992584347724915 3.5987234115600586 0.1292954534292221 -8.902231216430664 0.2212591916322708 -0.6714072227478027 -2.60933256149292  0
